Date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,sunshine_duration
2024-05-15,23.3,12.9,24.4,12.2,2.4,2.4,0.0,3.0,18.1,31.0,24.47,4.23,61,40432.83
2024-05-16,23.3,15.4,21.6,9.7,8.0,8.0,0.0,9.0,49.9,72.0,16.48,3.95,63,22118.24
2024-05-17,23.9,11.8,24.1,10.4,0.0,0.0,0.0,0.0,37.9,62.6,27.74,5.52,3,46742.0
2024-05-18,26.0,13.3,27.8,11.0,0.0,0.0,0.0,0.0,17.5,27.7,27.26,5.22,3,46781.26
2024-05-19,21.2,15.5,22.6,16.2,0.4,0.4,0.0,2.0,14.1,24.5,7.42,1.6,51,3907.51
2024-05-20,23.0,15.7,24.9,14.9,26.4,26.4,0.0,13.0,16.0,29.9,13.89,2.65,63,20536.11
2024-05-21,26.9,16.1,29.1,17.0,4.0,4.0,0.0,6.0,21.5,31.3,23.55,4.62,61,43056.42
2024-05-22,23.5,17.1,24.8,15.3,0.0,0.0,0.0,0.0,23.0,33.8,22.09,4.61,3,31350.98
2024-05-23,23.6,17.9,23.0,17.8,0.0,0.0,0.0,0.0,29.7,44.3,18.55,3.47,3,30278.54
2024-05-24,26.1,16.5,29.2,17.6,0.0,0.0,0.0,0.0,25.2,36.4,25.0,4.7,3,46800.0
2024-05-25,23.7,17.0,24.2,16.0,0.0,0.0,0.0,0.0,29.0,47.5,19.87,4.2,3,32052.38
2024-05-26,23.9,16.9,22.8,16.9,0.0,0.0,0.0,0.0,31.6,49.0,24.19,4.84,3,41971.09
2024-05-27,23.8,19.7,22.3,17.8,1.0,1.0,0.0,3.0,44.0,65.2,11.04,2.5,53,13434.59
2024-05-28,25.2,21.4,25.2,18.3,20.0,20.0,0.0,19.0,68.4,97.6,8.46,2.21,63,641.66
2024-05-29,23.9,18.5,24.8,14.2,15.6,15.6,0.0,3.0,45.6,81.4,18.54,4.18,65,30937.41
2024-05-30,25.6,17.4,27.1,18.6,1.0,1.0,0.0,1.0,24.7,36.4,23.21,4.49,55,41154.68
2024-05-31,20.1,17.3,22.7,15.7,38.5,38.5,0.0,15.0,26.8,42.8,6.26,1.42,63,3198.32
2024-06-01,24.6,17.6,26.2,17.4,0.8,0.8,0.0,7.0,18.9,29.9,21.15,4.09,51,32400.0
2024-06-02,22.8,16.9,23.8,16.8,22.7,22.7,0.0,12.0,22.6,33.1,19.61,3.51,63,36918.86
2024-06-03,23.1,16.0,25.6,15.2,12.0,12.0,0.0,14.0,22.6,34.2,19.89,3.57,63,31815.12
2024-06-04,23.2,15.2,24.4,14.5,0.8,0.8,0.0,5.0,23.4,35.6,24.81,4.35,51,45312.85
2024-06-05,25.2,15.0,27.2,14.6,0.0,0.0,0.0,0.0,23.9,34.2,27.96,5.16,0,47154.49
2024-06-06,24.1,18.0,25.3,18.6,0.1,0.1,0.0,1.0,28.9,43.6,21.23,4.2,51,39493.41
2024-06-07,25.2,18.2,25.7,19.2,0.2,0.2,0.0,2.0,21.6,34.2,22.09,4.42,51,41399.6
2024-06-08,26.2,15.9,27.1,16.5,0.2,0.2,0.0,2.0,19.9,30.2,27.55,5.28,51,45872.04
2024-06-09,24.9,19.9,24.5,20.6,0.5,0.5,0.0,5.0,30.3,44.6,19.0,3.96,51,28800.0
2024-06-10,24.1,19.4,26.0,19.9,12.9,12.9,0.0,10.0,20.2,29.2,16.9,3.43,63,29522.18
2024-06-11,26.2,19.1,27.5,20.8,0.0,0.0,0.0,0.0,29.1,43.9,25.79,4.87,3,43667.98
2024-06-12,26.6,19.5,28.3,22.0,0.0,0.0,0.0,0.0,25.1,37.8,25.17,4.74,3,47267.43
2024-06-13,24.2,19.7,25.7,21.8,0.0,0.0,0.0,0.0,12.7,21.6,11.07,2.31,3,8706.57
2024-06-14,28.5,19.6,32.1,21.5,0.0,0.0,0.0,0.0,24.3,38.5,27.56,5.49,1,47514.83
2024-06-15,28.2,19.2,30.6,21.6,0.7,0.7,0.0,3.0,20.4,32.8,24.42,4.92,51,37474.93
2024-06-16,25.8,21.4,28.7,22.7,20.0,20.0,0.0,9.0,31.4,47.2,21.36,3.87,65,32990.5
2024-06-17,28.5,21.8,31.9,24.5,1.6,1.6,0.0,4.0,16.9,24.5,15.74,3.42,55,28682.33
2024-06-18,22.8,18.7,26.2,19.1,102.1,102.1,0.0,22.0,18.7,27.0,2.28,0.85,65,0.0
2024-06-19,27.8,17.0,31.0,18.4,0.0,0.0,0.0,0.0,23.6,34.6,28.35,5.61,3,47646.34
2024-06-20,26.7,19.7,29.7,21.5,0.0,0.0,0.0,0.0,32.9,48.2,24.51,4.69,3,46356.77
2024-06-21,22.9,18.5,24.6,16.7,35.9,35.9,0.0,10.0,32.4,48.2,3.13,1.38,63,0.0
2024-06-22,27.0,16.1,27.3,16.5,0.0,0.0,0.0,0.0,37.1,53.6,23.64,5.18,3,37614.19
2024-06-23,24.5,21.7,28.9,21.3,12.8,12.8,0.0,14.0,31.9,50.8,7.42,1.96,63,2746.07
2024-06-24,29.7,20.9,35.9,23.1,0.4,0.4,0.0,1.0,19.9,32.0,23.37,4.54,51,35531.6
2024-06-25,29.8,22.8,33.6,25.5,0.0,0.0,0.0,0.0,23.3,35.3,17.71,3.85,3,26582.47
2024-06-26,29.6,23.0,35.1,24.0,1.6,1.6,0.0,2.0,21.2,30.2,19.05,4.19,55,34245.36
2024-06-27,27.5,22.2,30.4,24.1,0.1,0.1,0.0,1.0,20.9,31.7,19.55,4.29,51,22411.73
2024-06-28,23.7,21.3,26.5,21.8,47.8,47.8,0.0,21.0,47.1,69.1,4.08,1.09,65,0.0
2024-06-29,27.5,20.7,31.1,22.9,0.3,0.3,0.0,2.0,19.2,29.2,14.91,3.16,51,22553.93
2024-06-30,27.8,22.9,30.1,23.6,3.0,3.0,0.0,7.0,49.3,70.2,10.83,2.84,53,2715.07
2024-07-01,27.7,24.8,32.4,22.9,6.3,6.3,0.0,11.0,57.7,84.2,6.71,2.34,61,2403.65
2024-07-02,30.1,23.4,36.7,27.7,9.3,9.3,0.0,9.0,15.5,25.6,19.95,4.14,63,30531.87
2024-07-03,31.1,23.3,36.8,26.4,0.9,0.9,0.0,4.0,23.0,34.2,23.78,4.87,53,42828.24
2024-07-04,32.6,23.4,39.1,28.2,0.0,0.0,0.0,0.0,17.1,25.9,24.6,5.29,3,47644.37
2024-07-05,33.2,24.3,40.7,27.9,0.0,0.0,0.0,0.0,18.3,29.2,26.55,5.54,2,47773.13
2024-07-06,33.0,24.7,39.8,29.5,0.6,0.6,0.0,2.0,18.7,30.6,22.59,5.03,51,39600.0
2024-07-07,32.0,24.9,38.4,29.6,0.0,0.0,0.0,0.0,15.5,25.9,26.68,5.44,3,47125.59
2024-07-08,33.9,24.3,40.2,29.7,0.0,0.0,0.0,0.0,15.1,25.6,25.31,5.49,3,42765.58
2024-07-09,32.9,24.9,35.9,30.3,0.0,0.0,0.0,0.0,29.9,46.4,20.05,4.7,3,35459.95
2024-07-10,31.7,24.6,37.0,26.9,2.0,2.0,0.0,4.0,43.6,63.0,17.43,4.64,53,29360.43
2024-07-11,29.2,24.6,32.0,25.4,1.2,1.2,0.0,2.0,52.4,76.3,9.67,3.35,53,2881.99
2024-07-12,25.6,22.6,30.6,24.8,16.3,16.3,0.0,19.0,18.7,32.4,5.45,1.38,63,3392.91
2024-07-13,29.5,21.6,32.7,24.5,3.0,3.0,0.0,5.0,28.0,41.4,21.88,4.75,55,38498.86
2024-07-14,28.2,24.1,33.1,27.7,7.0,7.0,0.0,18.0,21.8,34.9,14.46,2.97,63,22735.34
2024-07-15,28.0,22.6,31.6,24.9,0.5,0.5,0.0,3.0,30.6,47.2,13.66,2.79,51,16964.29
2024-07-16,26.3,21.8,29.1,24.8,12.8,12.8,0.0,18.0,18.1,29.5,8.74,1.96,63,6743.05
2024-07-17,29.5,22.5,34.4,25.8,7.9,7.9,0.0,13.0,16.2,24.5,16.31,3.4,61,26227.04
2024-07-18,30.6,23.2,36.3,27.8,0.1,0.1,0.0,1.0,19.1,31.0,22.29,4.55,51,42663.88
2024-07-19,30.9,24.3,35.8,29.0,0.0,0.0,0.0,0.0,24.0,36.4,18.45,4.1,3,31636.54
2024-07-20,33.5,25.9,42.4,30.5,1.8,1.8,0.0,4.0,19.4,28.4,24.72,5.44,61,46615.22
2024-07-21,31.5,24.9,36.8,29.4,12.2,12.2,0.0,5.0,22.8,35.6,25.07,5.5,63,46805.61
2024-07-22,33.5,25.4,41.1,30.0,0.0,0.0,0.0,0.0,22.7,32.4,25.25,5.56,2,46652.21
2024-07-23,32.2,25.1,38.0,29.9,0.0,0.0,0.0,0.0,19.9,33.1,26.28,5.5,3,46612.07
2024-07-24,33.1,25.7,40.4,29.5,0.0,0.0,0.0,0.0,20.9,34.6,22.45,4.91,3,37313.0
2024-07-25,33.2,26.9,38.8,32.2,0.0,0.0,0.0,0.0,19.2,32.0,22.57,5.12,3,34999.2
2024-07-26,33.8,26.2,38.9,31.6,1.3,1.3,0.0,2.0,21.5,35.3,23.67,5.37,53,40587.93
2024-07-27,33.9,26.6,39.1,32.7,0.2,0.2,0.0,1.0,14.8,27.4,22.2,5.1,51,38336.34
2024-07-28,34.8,26.1,42.1,31.9,0.3,0.3,0.0,3.0,20.6,35.3,23.62,5.84,51,44870.96
2024-07-29,36.7,27.8,40.4,31.0,0.0,0.0,0.0,0.0,30.1,47.9,23.93,7.11,3,45571.61
2024-07-30,38.1,28.0,40.5,30.4,1.4,1.4,0.0,6.0,26.8,43.2,20.38,6.71,51,41069.62
2024-07-31,34.7,27.6,39.2,32.1,0.9,0.9,0.0,4.0,20.7,37.8,22.81,5.72,51,45195.45
2024-08-01,33.4,25.3,36.6,29.6,0.1,0.1,0.0,1.0,23.9,37.1,21.58,5.71,51,45339.81
2024-08-02,34.6,24.8,37.5,28.5,0.0,0.0,0.0,0.0,26.7,43.2,21.34,5.72,3,45846.66
2024-08-03,35.0,25.0,38.0,29.6,0.0,0.0,0.0,0.0,25.0,44.6,23.31,6.15,3,45804.02
2024-08-04,35.5,25.4,38.8,29.9,0.0,0.0,0.0,0.0,26.1,43.9,25.25,6.75,2,45761.09
2024-08-05,35.6,26.4,39.7,31.4,0.2,0.2,0.0,1.0,24.7,41.8,22.65,6.06,51,37231.11
2024-08-06,34.2,26.7,38.1,31.3,4.2,4.2,0.0,8.0,15.3,28.4,18.37,4.72,61,40918.8
2024-08-07,32.4,25.0,38.8,29.8,15.2,15.2,0.0,18.0,32.5,52.2,17.09,3.75,65,25246.21
2024-08-08,31.8,24.9,37.9,29.3,3.3,3.3,0.0,11.0,18.2,32.8,21.55,4.61,61,44985.26
2024-08-09,33.4,25.1,38.5,29.3,0.9,0.9,0.0,5.0,21.4,31.7,23.49,5.4,53,44835.91
2024-08-10,33.6,25.2,37.3,27.6,0.7,0.7,0.0,4.0,27.4,43.9,20.22,5.22,51,40228.55
2024-08-11,34.0,26.0,39.7,31.2,0.0,0.0,0.0,0.0,31.0,46.4,24.48,6.07,3,44407.61
2024-08-12,34.6,27.9,38.3,31.6,0.0,0.0,0.0,0.0,38.2,56.9,24.29,6.56,1,45218.36
2024-08-13,35.3,28.1,38.8,32.2,0.1,0.1,0.0,1.0,29.2,45.0,23.24,6.74,51,44935.97
2024-08-14,35.1,26.9,39.8,32.3,0.5,0.5,0.0,2.0,23.7,37.1,20.71,5.9,51,43996.12
2024-08-15,35.6,26.2,40.0,30.8,1.5,1.5,0.0,2.0,25.1,41.0,22.6,6.02,55,41158.08
2024-08-16,28.5,24.9,30.1,25.3,44.6,44.6,0.0,24.0,45.4,67.7,5.98,2.1,63,1836.66
2024-08-17,33.7,25.0,40.4,27.0,0.1,0.1,0.0,1.0,39.5,59.4,22.98,5.84,51,44249.38
2024-08-18,32.2,25.8,39.1,30.2,1.3,1.3,0.0,8.0,16.9,25.6,18.14,3.97,53,32418.13
2024-08-19,31.7,25.6,38.7,29.9,9.3,9.3,0.0,10.0,16.9,30.6,18.91,4.05,63,36234.19
2024-08-20,31.9,25.6,37.0,29.9,1.9,1.9,0.0,3.0,26.5,41.0,22.1,4.87,53,36639.75
2024-08-21,31.5,24.8,38.3,29.5,3.5,3.5,0.0,5.0,21.5,32.4,21.27,4.64,63,41913.86
2024-08-22,29.7,25.5,33.0,30.1,3.1,3.1,0.0,8.0,26.3,39.6,14.84,3.42,61,35310.86
2024-08-23,30.5,26.8,34.1,29.5,0.1,0.1,0.0,1.0,33.0,48.6,18.67,4.54,51,39305.52
2024-08-24,32.1,26.0,38.4,29.8,2.6,2.6,0.0,9.0,29.3,43.9,18.33,4.56,61,32657.7
2024-08-25,31.2,25.3,35.7,29.4,0.4,0.4,0.0,4.0,28.9,44.6,22.24,5.0,51,43409.95
2024-08-26,31.2,26.5,34.3,29.5,0.0,0.0,0.0,0.0,29.6,43.9,22.91,5.52,3,43105.27
2024-08-27,30.2,25.5,32.5,27.7,0.7,0.7,0.0,5.0,40.2,61.2,19.22,4.47,51,42594.83
2024-08-28,29.7,26.0,33.4,29.1,2.0,2.0,0.0,8.0,24.4,37.1,17.16,4.17,55,35287.22
2024-08-29,29.9,24.8,34.1,28.3,31.5,31.5,0.0,15.0,21.0,34.6,13.56,3.1,65,24204.18
2024-08-30,27.8,25.9,31.3,27.8,26.9,26.9,0.0,22.0,36.0,52.2,7.17,2.13,63,5090.49
2024-08-31,29.2,25.6,32.1,26.8,17.7,17.7,0.0,18.0,36.9,55.4,18.02,3.85,63,34781.13
2024-09-01,29.8,24.9,33.8,28.8,18.2,18.2,0.0,17.0,34.6,51.8,14.23,3.19,63,30639.93
2024-09-02,30.5,26.4,32.8,28.0,0.0,0.0,0.0,0.0,44.6,64.8,22.05,4.8,3,42238.63
2024-09-03,26.7,23.0,30.3,25.0,38.3,38.3,0.0,20.0,25.9,40.0,9.42,2.13,65,17424.15
2024-09-04,27.7,22.2,29.3,23.5,0.8,0.8,0.0,3.0,23.7,36.4,15.39,3.53,51,30887.2
2024-09-05,29.4,22.1,33.4,23.6,0.0,0.0,0.0,0.0,16.9,24.8,17.46,3.74,3,39375.24
2024-09-06,30.3,23.7,36.8,28.4,0.0,0.0,0.0,0.0,15.3,23.0,20.89,4.33,3,38355.3
2024-09-07,30.4,24.2,36.6,29.2,0.0,0.0,0.0,0.0,25.2,37.8,21.38,4.44,3,38919.04
2024-09-08,31.0,24.0,37.1,28.9,0.0,0.0,0.0,0.0,22.3,33.1,19.65,4.28,3,41012.45
2024-09-09,31.9,24.1,36.7,27.5,1.5,1.5,0.0,7.0,20.1,31.0,18.96,4.24,53,33701.68
2024-09-10,31.1,23.5,35.8,27.6,0.4,0.4,0.0,3.0,21.9,31.3,20.85,4.44,51,40979.24
2024-09-11,31.5,24.3,37.3,29.1,0.0,0.0,0.0,0.0,24.8,36.7,20.32,4.45,3,40493.32
2024-09-12,31.5,24.9,36.9,30.4,0.0,0.0,0.0,0.0,28.0,42.8,20.13,4.54,3,40365.56
2024-09-13,31.3,26.2,34.0,29.3,0.0,0.0,0.0,0.0,35.5,53.3,20.93,5.28,3,39931.29
2024-09-14,31.8,25.9,34.9,28.9,0.0,0.0,0.0,0.0,37.6,56.5,21.05,5.32,3,40241.31
2024-09-15,31.8,25.8,33.1,28.9,9.3,9.3,0.0,2.0,41.2,61.9,20.35,5.49,63,39822.77
2024-09-16,29.7,23.6,32.6,26.1,13.8,13.8,0.0,7.0,31.4,49.0,14.28,3.49,63,31085.94
2024-09-17,31.2,22.7,34.9,25.6,0.1,0.1,0.0,1.0,30.5,45.7,20.13,4.53,51,39645.56
2024-09-18,33.3,25.3,38.5,31.1,9.6,9.6,0.0,5.0,18.8,31.3,17.85,4.12,63,34451.57
2024-09-19,32.1,25.5,38.1,30.4,0.0,0.0,0.0,0.0,17.4,25.6,17.02,3.75,3,36000.0
2024-09-20,33.0,26.2,39.2,31.0,0.0,0.0,0.0,0.0,21.9,38.2,16.82,4.04,3,32475.71
2024-09-21,32.3,25.1,36.5,28.5,0.0,0.0,0.0,0.0,29.1,44.3,12.2,3.55,3,24940.21
2024-09-22,30.0,24.0,33.4,26.7,2.5,2.5,0.0,7.0,51.7,76.7,8.22,2.32,53,7994.06
2024-09-23,26.2,19.5,26.2,18.4,2.5,2.5,0.0,7.0,32.1,48.2,10.75,3.28,53,23255.59
2024-09-24,24.7,17.0,23.0,15.3,0.0,0.0,0.0,0.0,32.1,48.6,15.98,4.12,3,36898.2
2024-09-25,23.6,16.4,23.1,13.6,0.0,0.0,0.0,0.0,33.9,50.8,6.84,2.76,3,10572.63
2024-09-26,28.0,20.8,30.7,20.1,0.0,0.0,0.0,0.0,24.2,34.6,11.53,2.9,3,21787.78
2024-09-27,24.8,21.7,27.4,24.6,36.5,36.5,0.0,14.0,22.5,34.6,4.35,1.09,65,0.0
2024-09-28,26.9,22.0,29.1,24.0,0.2,0.2,0.0,2.0,17.6,27.4,9.71,2.42,51,15686.94
2024-09-29,25.3,20.8,25.3,21.2,0.5,0.5,0.0,2.0,24.1,35.6,9.23,2.66,51,14843.48
2024-09-30,25.5,19.7,25.6,20.0,0.7,0.7,0.0,5.0,19.1,30.6,10.38,2.7,51,23383.27
2024-10-01,26.1,18.9,28.4,18.7,0.1,0.1,0.0,1.0,25.0,37.4,7.21,2.21,51,10493.3
2024-10-02,29.9,20.3,32.3,21.9,0.1,0.1,0.0,1.0,35.3,53.6,18.54,4.06,51,39432.11
2024-10-03,26.1,21.7,27.7,22.0,5.3,5.3,0.0,15.0,30.2,43.9,11.01,2.81,55,18000.0
2024-10-04,27.6,23.1,28.1,24.7,0.5,0.5,0.0,2.0,35.8,53.6,10.53,2.74,51,26907.52
2024-10-05,23.2,19.7,26.2,20.6,18.9,18.9,0.0,17.0,25.9,39.2,3.21,1.09,63,0.0
2024-10-06,26.0,19.6,28.0,20.9,1.8,1.8,0.0,3.0,17.2,27.4,9.91,2.12,61,19128.8
2024-10-07,27.5,19.7,28.8,22.5,0.0,0.0,0.0,0.0,38.0,56.5,14.85,3.12,3,31874.13
2024-10-08,22.3,16.2,25.2,14.4,13.2,13.2,0.0,14.0,26.9,40.7,3.38,1.34,63,0.0
2024-10-09,17.8,15.4,15.6,12.6,36.9,36.9,0.0,18.0,30.8,45.4,3.12,1.29,63,0.0
2024-10-10,20.4,15.0,18.2,11.4,1.2,1.2,0.0,6.0,28.9,43.6,8.2,2.44,51,24236.5
2024-10-11,22.8,12.8,24.0,11.2,0.0,0.0,0.0,0.0,17.9,25.9,16.53,3.01,3,36072.11
2024-10-12,24.0,15.1,24.8,14.3,0.0,0.0,0.0,0.0,16.0,25.2,16.7,3.12,1,38062.61
2024-10-13,25.1,15.8,24.2,15.2,0.0,0.0,0.0,0.0,18.5,31.0,16.53,3.34,1,37926.32
2024-10-14,24.2,14.8,24.0,13.3,0.2,0.2,0.0,2.0,20.5,33.1,14.84,3.0,51,35433.27
2024-10-15,25.5,16.0,26.0,15.8,0.0,0.0,0.0,0.0,14.8,21.2,16.5,3.17,3,36952.42
2024-10-16,25.7,16.6,28.0,17.1,0.0,0.0,0.0,0.0,11.3,16.2,11.97,2.31,3,27313.1
2024-10-17,24.8,19.8,25.5,21.4,1.6,1.6,0.0,7.0,19.5,31.3,9.32,2.05,53,20531.25
2024-10-18,24.1,19.1,27.1,19.9,5.5,5.5,0.0,12.0,17.2,28.8,7.96,1.59,63,16045.74
2024-10-19,28.0,20.6,29.9,17.6,1.4,1.4,0.0,4.0,37.2,54.4,12.09,3.02,53,30787.52
2024-10-20,20.1,12.0,17.0,9.2,1.3,1.3,0.0,4.0,32.4,52.2,11.7,3.32,53,33869.4
2024-10-21,19.5,9.5,17.7,5.3,0.0,0.0,0.0,0.0,26.2,42.1,12.51,2.68,3,32938.94
2024-10-22,23.9,12.8,24.8,10.0,0.0,0.0,0.0,0.0,20.3,33.8,13.08,2.59,3,31263.04
2024-10-23,25.5,16.9,27.0,18.1,0.3,0.3,0.0,1.0,37.2,54.0,8.37,1.9,51,16789.5
2024-10-24,26.5,19.3,28.8,19.4,0.2,0.2,0.0,2.0,24.0,43.2,11.78,2.59,51,27133.69
2024-10-25,21.0,17.7,20.7,17.1,3.3,3.3,0.0,7.0,20.1,29.2,3.19,1.41,53,0.0
2024-10-26,22.2,15.8,22.4,14.6,0.1,0.1,0.0,1.0,16.5,25.9,5.71,1.48,51,144.24
2024-10-27,23.5,15.2,25.5,15.0,0.6,0.6,0.0,3.0,17.4,23.8,12.57,2.27,51,33048.44
2024-10-28,21.0,17.7,22.3,17.1,15.4,15.4,0.0,14.0,23.5,34.9,4.14,1.1,63,2011.56
2024-10-29,18.5,13.3,17.0,10.1,29.7,29.7,0.0,14.0,27.0,41.8,6.09,1.72,63,10106.39
2024-10-30,22.2,13.4,22.5,8.9,11.4,11.4,0.0,11.0,42.5,63.7,8.49,2.67,61,18351.28
2024-10-31,20.0,10.7,19.8,9.0,0.0,0.0,0.0,0.0,29.1,44.6,13.1,2.53,3,34482.6
2024-11-01,21.5,10.6,22.3,9.5,5.6,5.6,0.0,7.0,13.5,22.3,11.26,1.89,55,25611.65
2024-11-02,17.9,15.1,18.4,12.5,58.2,58.2,0.0,24.0,36.4,60.8,3.22,0.79,65,0.0
2024-11-03,20.8,13.2,19.0,12.0,0.0,0.0,0.0,0.0,24.8,38.5,13.5,2.76,3,33688.87
2024-11-04,21.9,9.4,20.1,8.0,0.0,0.0,0.0,0.0,27.6,41.8,13.31,2.61,2,34068.61
2024-11-05,19.4,11.7,17.2,9.8,0.0,0.0,0.0,0.0,24.1,34.9,9.96,2.04,3,26017.72
2024-11-06,15.5,11.6,13.1,9.2,0.2,0.2,0.0,2.0,24.8,38.9,4.94,1.41,51,4574.42
2024-11-07,15.7,8.9,9.3,3.3,0.0,0.0,0.0,0.0,40.3,60.1,13.38,3.07,3,33518.89
